name,address,lon,lat,to_lon,to_lat,total_spots,risk_level,dispatch_qty,distance_km
深圳湾公园-日出剧场5号停车场,深圳湾公园日出剧场,113.9325,22.5142,113.9281,22.5098,475,低风险,475,0.3
深圳湾公园-海风运动公园8号停车场,深圳湾公园海风运动广场,113.9281,22.5098,113.9214,22.5055,327,低风险,327,0.5
深圳湾公园-红树林海滨生态公园西2号停车场,深圳湾公园红树林海滨生态公园西,113.9214,22.5055,113.9325,22.5142,109,中风险,109,0.8
莲花山公园-东北门停车场,莲花路41号,113.9102,22.5423,113.9145,22.5401,53,中风险,53,1.2
莲花山公园-西区停车场,新洲路5010号,113.9145,22.5401,113.9102,22.5423,180,低风险,180,1.5
笔架山公园西门停车场,福田区笋岗西路北100米,113.9187,22.5532,113.9201,22.5511,89,高风险,89,2.1
笔架山公园南门停车场,笔架山公园南门,113.9201,22.5511,113.9234,22.5505,210,低风险,210,1.8
笔架山公园东门停车场,笔架山公园东门办公楼综合楼前,113.9234,22.5505,113.9187,22.5532,84,中风险,84,2.3
荔枝公园通新岭停车场,华强北街道同德路通心岭旁,113.9168,22.5487,113.9175,22.5492,78,高风险,78,1.1
荔枝公园通新岭停车场,福田区同德路通心岭停车场,113.9175,22.5492,113.9168,22.5487,79,中风险,79,1.3
阳台山森林公园大浪登山广场停车场,龙华区大浪街道布龙路385号,113.9721,22.6012,113.9735,22.6025,260,低风险,260,3.5
阳台山森林公园大浪登山广场停车场,深圳市龙华区大浪街道布龙路旁,113.9735,22.6025,113.9721,22.6012,251,低风险,251,3.8
中心公园C区停车场,福田区华富街道振华路1号,113.9215,22.5398,113.9232,22.5395,41,中风险,41,0.9
中心公园D区停车场,振华西路深圳中心公园-D1区,113.9232,22.5395,113.9215,22.5398,108,低风险,108,1.1
中心公园停车场,中心公园A区B区C2区D1区,113.9225,22.5397,113.9232,22.5395,168,低风险,168,1.0
洪湖公园东侧门停车场,东侧门停车场,113.9312,22.5478,113.9287,22.5465,26,高风险,26,2.5
洪湖公园西门停车场,西门停车场,113.9287,22.5465,113.9335,22.5482,27,中风险,27,2.3
洪湖公园东大门停车场,东大门停车场,113.9335,22.5482,113.9312,22.5478,44,低风险,44,2.8
红岗公园停车场,红岗公园东马岭大门岗,113.9387,22.5565,113.9387,22.5565,67,中风险,67,3.2
皇岗公园南门停车场,深圳市福田区福强路2088号,113.9123,22.5278,113.9123,22.5278,57,低风险,57,1.7
儿童公园北门停车场,儿童公园北门,113.9278,22.5512,113.9156,22.5354,20,高风险,20,2.1
儿童乐园北门停车场,福田区农林路71号,113.9156,22.5354,113.9278,22.5512,35,中风险,35,1.9
园博园南门停车场及地下车库,公园南区,113.9025,22.5312,113.9025,22.5312,236,低风险,236,1.2
深圳湾公园海风运动公园停车场,深圳市福田区滨海大道南侧深圳湾公园内,113.9275,22.5087,113.9275,22.5087,325,低风险,325,0.4
深圳湾公园红树林东、西及A1段停车场,深圳市福田区滨海大道南侧深圳湾公园内,113.9245,22.5068,113.9245,22.5068,204,低风险,204,0.6
深圳湾公园海韵、日出停车场,深圳市福田区滨海大道南侧深圳湾公园内,113.9302,22.5112,113.9302,22.5112,412,低风险,412,0.7
深圳湾公园北湾、婚庆、观桥停车场,深圳市福田区滨海大道南侧深圳湾公园内,113.9345,22.5135,113.9345,22.5135,492,低风险,492,0.9
人民公园西门停车场,人民公园西门停车场,113.9245,22.5498,113.9245,22.5498,39,中风险,39,1.5
东湖公园南门停车场,南门停车场,113.9378,22.5456,113.9356,22.5445,42,中风险,42,2.7
东湖公园西门大停车场,东湖公园西门,113.9356,22.5445,113.9378,22.5456,40,高风险,40,2.5
大沙河公园-东门停车场,南山区大沙河公园东门,113.9215,22.5412,113.9189,22.5387,112,低风险,95,1.1
大沙河公园-西门停车场,南山区大沙河公园西门,113.9152,22.5391,113.9215,22.5412,98,中风险,82,1.4
中山公园-南门停车场,南山区中山公园南门,113.8912,22.5476,113.8945,22.5452,176,低风险,152,0.8
中山公园-东门停车场,南山区中山公园东门,113.8967,22.5461,113.8912,22.5476,154,中风险,131,0.9
塘朗山公园-登山口停车场,南山区塘朗山登山口,113.9389,22.5678,113.9412,22.5654,86,低风险,72,1.0
塘朗山公园-龙珠门停车场,南山区塘朗山龙珠门,113.9445,22.5632,113.9389,22.5678,76,中风险,63,1.3
前海石公园-停车场,南山区前海石公园,113.8612,22.5411,113.8645,22.5387,64,低风险,51,0.7
前海运动公园-停车场,南山区前海运动公园,113.8578,22.5432,113.8612,22.5411,58,中风险,46,0.8
西丽生态公园-停车场,南山区西丽生态公园,113.9512,22.5876,113.9545,22.5852,92,低风险,78,0.9
西丽野生动物园-停车场,南山区西丽野生动物园,113.9412,22.5811,113.9512,22.5876,215,中风险,186,2.1
蛇口四海公园-停车场,南山区蛇口四海公园,113.9012,22.4976,113.9045,22.4952,86,低风险,72,0.9
蛇口文天祥公园-停车场,南山区文天祥公园,113.8978,22.4891,113.9012,22.4976,64,中风险,51,1.2
南头古城公园-停车场,南山区南头古城公园,113.8712,22.5476,113.8745,22.5452,76,低风险,63,0.7
南头古城南门-停车场,南山区南头古城南门,113.8767,22.5441,113.8712,22.5476,68,中风险,55,0.8
留仙洞公园-停车场,南山区留仙洞公园,113.9278,22.5711,113.9312,22.5687,58,低风险,46,0.9
留仙洞公园北门-停车场,南山区留仙洞公园北门,113.9323,22.5732,113.9278,22.5711,48,中风险,37,0.8
大学城体育中心-停车场,南山区大学城体育中心,113.9612,22.5911,113.9645,22.5887,136,低风险,117,0.9
深大南校区-停车场,南山区深圳大学南校区,113.9312,22.5776,113.9345,22.5752,186,中风险,161,0.8
粤海街道公园-停车场,南山区粤海街道公园,113.9267,22.5311,113.9301,22.5287,72,低风险,59,0.9
科技园社区公园-停车场,南山区科技园社区公园,113.9334,22.5345,113.9267,22.5311,66,中风险,53,1.1
后海公园-停车场,南山区后海公园,113.9412,22.5211,113.9445,22.5187,98,低风险,82,0.8
后海中心河公园-停车场,南山区后海中心河公园,113.9456,22.5198,113.9412,22.5211,84,中风险,70,0.9
海岸城社区公园-停车场,南山区海岸城社区公园,113.9312,22.5176,113.9345,22.5152,76,低风险,63,0.8
滨海长廊公园-停车场,南山区滨海长廊公园,113.9278,22.5098,113.9312,22.5074,114,中风险,97,0.9
高新中四道公园-停车场,南山区高新中四道公园,113.9378,22.5376,113.9412,22.5352,68,低风险,55,0.8
高新南公园-停车场,南山区高新南公园,113.9434,22.5298,113.9378,22.5376,62,中风险,50,1.2
月亮湾公园-停车场,南山区月亮湾公园,113.9012,22.5611,113.9045,22.5587,88,低风险,74,0.9
兴海公园-停车场,南山区兴海公园,113.9067,22.5591,113.9012,22.5611,74,中风险,61,0.8
前海壹号公园-停车场,南山区前海壹号公园,113.8678,22.5376,113.8712,22.5352,54,低风险,42,0.7
前海卓悦公园-停车场,南山区前海卓悦公园,113.8723,22.5398,113.8678,22.5376,46,中风险,35,0.8
赤湾公园-停车场,南山区赤湾公园,113.8512,22.4876,113.8545,22.4852,44,低风险,33,0.8
赤湾山公园-停车场,南山区赤湾山公园,113.8567,22.4832,113.8512,22.4876,38,中风险,28,0.9
妈湾公园-停车场,南山区妈湾公园,113.8712,22.5176,113.8745,22.5152,52,低风险,40,0.8
妈湾城市客厅-停车场,南山区妈湾城市客厅,113.8767,22.5198,113.8712,22.5176,46,中风险,35,0.9
招商街道公园-停车场,南山区招商街道公园,113.8912,22.4976,113.8945,22.4952,62,低风险,50,0.8
四海社区公园-停车场,南山区四海社区公园,113.8967,22.4998,113.8912,22.4976,54,中风险,42,0.9
松坪山公园-停车场,南山区松坪山公园,113.9112,22.5576,113.9145,22.5552,78,低风险,65,0.8
乌石岗公园-停车场,南山区乌石岗公园,113.9167,22.5598,113.9112,22.5576,66,中风险,53,0.9
茶光村公园-停车场,南山区茶光村公园,113.9223,22.5676,113.9256,22.5652,52,低风险,40,0.8
珠光村公园-停车场,南山区珠光村公园,113.9278,22.5698,113.9223,22.5676,44,中风险,33,0.9
白石洲公园-停车场,南山区白石洲公园,113.9412,22.5411,113.9445,22.5387,82,低风险,69,0.8
沙河公园-停车场,南山区沙河公园,113.9467,22.5432,113.9412,22.5411,72,中风险,59,0.9
高新园区公园-停车场,南山区高新园区公园,113.9312,22.5476,113.9345,22.5452,94,低风险,80,0.8
科苑公园-停车场,南山区科苑公园,113.9367,22.5498,113.9312,22.5476,82,中风险,69,0.9
高新区公园-停车场,南山区高新区公园,113.9212,22.5511,113.9245,22.5487,76,低风险,63,0.8
科技园公园-停车场,南山区科技园公园,113.9267,22.5532,113.9212,22.5511,66,中风险,53,0.9
华侨城湿地公园-停车场,南山区华侨城湿地公园,113.9112,22.5311,113.9145,22.5287,88,低风险,74,0.9
华侨城创意文化园-停车场,南山区华侨城创意文化园,113.9167,22.5332,113.9112,22.5311,96,中风险,80,0.8
欢乐海岸公园-停车场,南山区欢乐海岸公园,113.9212,22.5276,113.9245,22.5252,126,低风险,105,0.8
深圳湾体育中心-停车场,南山区深圳湾体育中心,113.9312,22.5176,113.9345,22.5152,186,中风险,155,0.8
后海金融总部基地-停车场,南山区后海金融总部基地,113.9412,22.5211,113.9445,22.5187,158,低风险,132,0.8
科技园金融大厦-停车场,南山区科技园金融大厦,113.9367,22.5345,113.9401,22.5321,142,中风险,118,0.9
粤海街道办旁公园-停车场,南山区粤海街道办旁,113.9278,22.5311,113.9312,22.5287,68,低风险,57,0.9
南山街道社区公园-停车场,南山区南山街道社区,113.8812,22.5476,113.8845,22.5452,72,中风险,60,0.8
南头街道公园-停车场,南山区南头街道公园,113.8767,22.5498,113.8801,22.5474,66,低风险,55,0.9
西丽街道公园-停车场,南山区西丽街道公园,113.9512,22.5798,113.9545,22.5774,78,中风险,65,0.9
桃源街道公园-停车场,南山区桃源街道公园,113.9467,22.5698,113.9501,22.5674,62,低风险,52,0.9
招商街道社区公园-停车场,南山区招商街道社区,113.8967,22.4998,113.9001,22.4974,58,中风险,48,0.9
蛇口街道公园-停车场,南山区蛇口街道公园,113.8912,22.4946,113.8945,22.4922,54,低风险,45,0.8
前海街道公园-停车场,南山区前海街道公园,113.8667,22.5448,113.8701,22.5424,68,中风险,57,0.9
桂庙街道公园-停车场,南山区桂庙街道公园,113.9212,22.5246,113.9245,22.5222,72,低风险,60,0.8
大冲社区公园-停车场,南山区大冲社区公园,113.9312,22.5346,113.9345,22.5322,88,中风险,73,0.8
沙河街道公园-停车场,南山区沙河街道公园,113.9467,22.5498,113.9501,22.5474,76,低风险,63,0.9
白石洲社区公园-停车场,南山区白石洲社区公园,113.9412,22.5446,113.9445,22.5422,68,中风险,57,0.8
西丽社区公园-停车场,南山区西丽社区公园,113.9567,22.5748,113.9601,22.5724,62,低风险,52,0.9
桃源社区公园-停车场,南山区桃源社区公园,113.9412,22.5646,113.9445,22.5622,58,中风险,48,0.8
留仙洞社区公园-停车场,南山区留仙洞社区公园,113.9267,22.5748,113.9301,22.5724,54,低风险,45,0.9
同乐社区公园-停车场,南山区同乐社区公园,113.9112,22.5846,113.9145,22.5822,68,中风险,57,0.8
